tail_number,latitude,longitude,altitude,heading,speed,fuel,timestamp
AAA001,34.723235,-117.468081,1283.0,69.9,25,0.999,2025-01-01T09:54:20
AAA001,34.728034,-117.471814,1283.0,327.4,25,0.998,2025-01-01T09:56:13.556342
AAA001,34.731798,-117.477869,1283.0,307.1,25,0.997,2025-01-01T09:58:07.112683
AAA001,34.735021,-117.486749,1283.0,293.8,25,0.996,2025-01-01T10:00:00.669025
AAA001,34.736707,-117.498474,1283.0,279.9,25,0.995,2025-01-01T10:01:54.225367
AAA001,34.737554,-117.512071,1283.0,274.3,25,0.994,2025-01-01T10:03:47.781709
AAA001,34.736401,-117.527241,1283.0,264.7,25,0.993,2025-01-01T10:05:41.338050
AAA001,34.735044,-117.544362,1283.0,264.5,25,0.992,2025-01-01T10:07:34.894392
AAA001,34.731607,-117.562195,1283.0,256.8,25,0.991,2025-01-01T10:09:28.450734
AAA001,34.727748,-117.580753,1283.0,255.8,25,0.99,2025-01-01T10:11:22.007075
AAA001,34.722507,-117.598698,1283.0,250.4,25,0.989,2025-01-01T10:13:15.563417
AAA001,34.716449,-117.616165,1283.0,247.1,25,0.988,2025-01-01T10:15:09.119759
AAA001,34.710063,-117.633574,1283.0,246.0,25,0.987,2025-01-01T10:17:02.676101
AAA001,34.702806,-117.649325,1283.0,240.7,25,0.986,2025-01-01T10:18:56.232442
AAA001,34.695028,-117.663615,1283.0,236.5,25,0.985,2025-01-01T10:20:49.788784
AAA001,34.68788,-117.675637,1283.0,234.1,25,0.984,2025-01-01T10:22:43.345126
AAA001,34.68056,-117.685469,1283.0,227.8,25,0.983,2025-01-01T10:24:36.901468
AAA001,34.673138,-117.693119,1283.0,220.3,25,0.982,2025-01-01T10:26:30.457809
AAA001,34.665668,-117.698321,1283.0,209.8,25,0.981,2025-01-01T10:28:24.014151
AAA001,34.659482,-117.700133,1283.0,193.5,25,0.98,2025-01-01T10:30:17.570493
AAA001,34.653912,-117.699669,1283.0,176.1,25,0.979,2025-01-01T10:32:11.126834
AAA001,34.649497,-117.695581,1283.0,142.7,25,0.978,2025-01-01T10:34:04.683176
AAA001,34.645449,-117.688844,1283.0,126.1,25,0.977,2025-01-01T10:35:58.239518
AAA001,34.64218,-117.680049,1283.0,114.3,25,0.976,2025-01-01T10:37:51.795860
AAA001,34.640493,-117.668459,1283.0,100.0,25,0.975,2025-01-01T10:39:45.352201
AAA001,34.639646,-117.654474,1283.0,94.2,25,0.974,2025-01-01T10:41:38.908543
AAA001,34.640353,-117.639242,1283.0,86.8,25,0.973,2025-01-01T10:43:32.464885
AAA001,34.641707,-117.622123,1283.0,84.5,25,0.972,2025-01-01T10:45:26.021226
AAA001,34.644971,-117.604857,1283.0,77.1,25,0.971,2025-01-01T10:47:19.577568
AAA001,34.649444,-117.58692,1283.0,73.1,25,0.97,2025-01-01T10:49:13.133910
AAA001,34.654454,-117.568655,1283.0,71.6,25,0.969,2025-01-01T10:51:06.690252
AAA001,34.660352,-117.551071,1283.0,67.8,25,0.968,2025-01-01T10:53:00.246593
AAA001,34.666896,-117.534337,1283.0,64.6,25,0.967,2025-01-01T10:54:53.802935
AAA001,34.673985,-117.518795,1283.0,61.0,25,0.966,2025-01-01T10:56:47.359277
AAA001,34.681431,-117.504573,1283.0,57.5,25,0.965,2025-01-01T10:58:40.915619
AAA001,34.689432,-117.491885,1283.0,52.5,25,0.964,2025-01-01T11:00:34.471960
AAA001,34.696813,-117.481645,1283.0,48.8,25,0.963,2025-01-01T11:02:28.028302
AAA001,34.704153,-117.474483,1283.0,38.7,25,0.962,2025-01-01T11:04:21.584644
AAA001,34.710782,-117.470153,1283.0,28.2,25,0.961,2025-01-01T11:06:15.140985
AAA001,34.717495,-117.46778,1283.0,16.2,25,0.96,2025-01-01T11:08:08.697327
AAA001,34.723156,-117.469033,1283.0,349.7,25,0.959,2025-01-01T11:10:02.253669
AAA001,34.728383,-117.473142,1283.0,327.1,25,0.958,2025-01-01T11:11:55.810011
AAA001,34.732617,-117.479893,1283.0,307.4,25,0.957,2025-01-01T11:13:49.366352
AAA001,34.735474,-117.489405,1283.0,290.1,25,0.956,2025-01-01T11:15:42.922694
AAA001,34.737534,-117.501315,1283.0,281.9,25,0.955,2025-01-01T11:17:36.479036
AAA001,34.737824,-117.514959,1283.0,271.5,25,0.954,2025-01-01T11:19:30.035377
AAA001,34.737441,-117.529837,1283.0,268.2,25,0.953,2025-01-01T11:21:23.591719
AAA001,34.735487,-117.546832,1283.0,262.0,25,0.952,2025-01-01T11:23:17.148061
AAA001,34.732173,-117.564643,1283.0,257.2,25,0.951,2025-01-01T11:25:10.704403
AAA001,34.728303,-117.583022,1283.0,255.6,25,0.95,2025-01-01T11:27:04.260744
AAA001,34.722912,-117.600895,1283.0,249.9,25,0.949,2025-01-01T11:28:57.817086
AAA001,34.716809,-117.618689,1283.0,247.4,25,0.948,2025-01-01T11:30:51.373428
AAA001,34.710104,-117.635414,1283.0,244.0,25,0.947,2025-01-01T11:32:44.929770
AAA001,34.703352,-117.651402,1283.0,242.8,25,0.946,2025-01-01T11:34:38.486111
AAA001,34.695475,-117.666032,1283.0,236.8,25,0.945,2025-01-01T11:36:32.042453
AAA001,34.687658,-117.677811,1283.0,231.1,25,0.944,2025-01-01T11:38:25.598795
AAA001,34.680333,-117.687501,1283.0,227.4,25,0.943,2025-01-01T11:40:19.155136
AAA001,34.672829,-117.694985,1283.0,219.4,25,0.942,2025-01-01T11:42:12.711478
AAA001,34.665347,-117.699545,1283.0,206.6,25,0.941,2025-01-01T11:44:06.267820
AAA001,34.658424,-117.70112,1283.0,190.6,25,0.94,2025-01-01T11:45:59.824162
AAA001,34.652719,-117.699775,1283.0,169.0,25,0.939,2025-01-01T11:47:53.380503
AAA001,34.647382,-117.696025,1283.0,150.0,25,0.938,2025-01-01T11:49:46.936845
AAA001,34.643732,-117.689091,1283.0,122.6,25,0.937,2025-01-01T11:51:40.493187
AAA001,34.641223,-117.679684,1283.0,108.0,25,0.936,2025-01-01T11:53:34.049528
AAA001,34.639892,-117.668211,1283.0,98.0,25,0.935,2025-01-01T11:55:27.605870
AAA001,34.639215,-117.654624,1283.0,93.5,25,0.934,2025-01-01T11:57:21.162212
AAA001,34.639821,-117.638902,1283.0,87.3,25,0.933,2025-01-01T11:59:14.718554
AAA001,34.641347,-117.622646,1283.0,83.5,25,0.932,2025-01-01T12:01:08.274895
AAA001,34.64419,-117.6052,1283.0,78.8,25,0.931,2025-01-01T12:03:01.831237
AAA001,34.648043,-117.586821,1283.0,75.7,25,0.93,2025-01-01T12:04:55.387579
AAA001,34.65264,-117.568201,1283.0,73.3,25,0.929,2025-01-01T12:06:48.943921
AAA001,34.658397,-117.550546,1283.0,68.4,25,0.928,2025-01-01T12:08:42.500262
AAA001,34.66515,-117.533292,1283.0,64.5,25,0.927,2025-01-01T12:10:36.056604
AAA001,34.672099,-117.5179,1283.0,61.2,25,0.926,2025-01-01T12:12:29.612946
AAA001,34.679535,-117.504018,1283.0,56.9,25,0.925,2025-01-01T12:14:23.169287
AAA001,34.687201,-117.49187,1283.0,52.5,25,0.924,2025-01-01T12:16:16.725629
AAA001,34.694367,-117.482246,1283.0,47.8,25,0.923,2025-01-01T12:18:10.281971
AAA001,34.701621,-117.474682,1283.0,40.6,25,0.922,2025-01-01T12:20:03.838313
AAA001,34.70861,-117.46999,1283.0,28.9,25,0.921,2025-01-01T12:21:57.394654
AAA001,34.714974,-117.467939,1283.0,14.8,25,0.92,2025-01-01T12:23:50.950996
AAA001,34.720705,-117.468527,1283.0,355.2,25,0.919,2025-01-01T12:25:44.507338
AAA001,34.725674,-117.472646,1283.0,325.7,25,0.918,2025-01-01T12:27:38.063679
AAA001,34.729999,-117.479349,1283.0,308.1,25,0.917,2025-01-01T12:29:31.620021
AAA001,34.732644,-117.488552,1283.0,289.3,25,0.916,2025-01-01T12:31:25.176363
AAA001,34.734423,-117.499722,1283.0,281.0,25,0.915,2025-01-01T12:33:18.732705
AAA001,34.734819,-117.513008,1283.0,272.1,25,0.914,2025-01-01T12:35:12.289046
AAA001,34.734083,-117.528503,1283.0,266.7,25,0.913,2025-01-01T12:37:05.845388
AAA001,34.732307,-117.545354,1283.0,262.7,25,0.912,2025-01-01T12:38:59.401730
AAA001,34.72926,-117.563305,1283.0,258.3,25,0.911,2025-01-01T12:40:52.958072
AAA001,34.725436,-117.581657,1283.0,255.8,25,0.91,2025-01-01T12:42:46.514413
AAA001,34.720262,-117.600224,1283.0,251.3,25,0.909,2025-01-01T12:44:40.070755
AAA001,34.71459,-117.618117,1283.0,248.9,25,0.908,2025-01-01T12:46:33.627097
