tail_number,latitude,longitude,altitude,heading,speed,fuel,timestamp
AAX001,33.942791,-118.410042,125.0,19.4,48.196,0.999,2025-01-01T11:53:11
AAX001,33.944636,-118.409258,130.1,19.4,48.196,0.998,2025-01-01T11:53:21
AAX001,33.946481,-118.408475,135.1,19.4,48.196,0.997,2025-01-01T11:53:31
AAX001,33.948326,-118.407691,140.2,19.4,48.196,0.996,2025-01-01T11:53:41
AAX001,33.950171,-118.406908,145.2,19.4,48.196,0.995,2025-01-01T11:53:51
AAX001,33.952016,-118.406124,150.3,19.4,48.196,0.994,2025-01-01T11:54:01
AAX001,33.953861,-118.405341,155.4,19.4,48.196,0.993,2025-01-01T11:54:11
AAX001,33.955706,-118.404557,160.4,19.4,48.196,0.992,2025-01-01T11:54:21
AAX001,33.957551,-118.403774,165.5,19.4,48.196,0.991,2025-01-01T11:54:31
AAX001,33.959396,-118.40299,170.6,19.4,48.196,0.99,2025-01-01T11:54:41
AAX001,33.961241,-118.402207,175.6,19.4,48.196,0.989,2025-01-01T11:54:51
AAX001,33.963086,-118.401423,180.7,19.4,48.196,0.988,2025-01-01T11:55:01
AAX001,33.964931,-118.40064,185.7,19.4,48.196,0.987,2025-01-01T11:55:11
AAX001,33.966776,-118.399856,190.8,19.4,48.196,0.986,2025-01-01T11:55:21
AAX001,33.968621,-118.399073,195.9,19.4,48.196,0.985,2025-01-01T11:55:31
AAX001,33.970466,-118.398289,200.9,19.4,48.196,0.984,2025-01-01T11:55:41
AAX001,33.972311,-118.397506,206.0,19.4,48.196,0.983,2025-01-01T11:55:51
AAX001,33.974157,-118.396722,211.1,19.4,48.196,0.982,2025-01-01T11:56:01
AAX001,33.976002,-118.395939,216.1,19.4,48.196,0.981,2025-01-01T11:56:11
AAX001,33.977847,-118.395155,221.2,19.4,48.196,0.98,2025-01-01T11:56:21
AAX001,33.979692,-118.394372,226.2,19.4,48.196,0.979,2025-01-01T11:56:31
AAX001,33.981537,-118.393588,231.3,19.4,48.196,0.978,2025-01-01T11:56:41
AAX001,33.983382,-118.392805,236.4,19.4,48.196,0.977,2025-01-01T11:56:51
AAX001,33.985227,-118.392021,241.4,19.4,48.196,0.976,2025-01-01T11:57:01
AAX001,33.987072,-118.391238,246.5,19.4,48.196,0.975,2025-01-01T11:57:11
AAX001,33.988917,-118.390454,251.6,19.4,48.196,0.974,2025-01-01T11:57:21
AAX001,33.990762,-118.389671,256.6,19.4,48.196,0.973,2025-01-01T11:57:31
AAX001,33.992607,-118.388887,261.7,19.4,48.196,0.972,2025-01-01T11:57:41
AAX001,33.994452,-118.388104,266.7,19.4,48.196,0.971,2025-01-01T11:57:51
AAX001,33.996297,-118.38732,271.8,19.4,48.196,0.97,2025-01-01T11:58:01
AAX001,33.998142,-118.386537,276.9,19.4,48.196,0.969,2025-01-01T11:58:11
AAX001,33.999987,-118.385753,281.9,19.4,48.196,0.968,2025-01-01T11:58:21
AAX001,34.001832,-118.38497,287.0,19.4,48.196,0.967,2025-01-01T11:58:31
AAX001,34.003677,-118.384186,292.0,19.4,48.196,0.966,2025-01-01T11:58:41
