tail_number,latitude,longitude,altitude,heading,speed,fuel,timestamp
AAX001,33.942791,-118.410042,125.0,19.4,46.417,0.999,2025-01-01T11:48:18
AAX001,33.944567,-118.409288,129.9,19.4,46.417,0.998,2025-01-01T11:48:28
AAX001,33.946343,-118.408533,134.7,19.4,46.417,0.997,2025-01-01T11:48:38
AAX001,33.94812,-118.407779,139.6,19.4,46.417,0.996,2025-01-01T11:48:48
AAX001,33.949896,-118.407025,144.5,19.4,46.417,0.995,2025-01-01T11:48:58
AAX001,33.951672,-118.406271,149.4,19.4,46.417,0.994,2025-01-01T11:49:08
AAX001,33.953448,-118.405516,154.2,19.4,46.417,0.993,2025-01-01T11:49:18
AAX001,33.955224,-118.404762,159.1,19.4,46.417,0.992,2025-01-01T11:49:28
AAX001,33.957,-118.404008,164.0,19.4,46.417,0.991,2025-01-01T11:49:38
AAX001,33.958777,-118.403254,168.9,19.4,46.417,0.99,2025-01-01T11:49:48
AAX001,33.960553,-118.402499,173.7,19.4,46.417,0.989,2025-01-01T11:49:58
AAX001,33.962329,-118.401745,178.6,19.4,46.417,0.988,2025-01-01T11:50:08
AAX001,33.964105,-118.400991,183.5,19.4,46.417,0.987,2025-01-01T11:50:18
AAX001,33.965881,-118.400237,188.4,19.4,46.417,0.986,2025-01-01T11:50:28
AAX001,33.967658,-118.399482,193.2,19.4,46.417,0.985,2025-01-01T11:50:38
AAX001,33.969434,-118.398728,198.1,19.4,46.417,0.984,2025-01-01T11:50:48
AAX001,33.97121,-118.397974,203.0,19.4,46.417,0.983,2025-01-01T11:50:58
AAX001,33.972986,-118.397219,207.8,19.4,46.417,0.982,2025-01-01T11:51:08
AAX001,33.974762,-118.396465,212.7,19.4,46.417,0.981,2025-01-01T11:51:18
AAX001,33.976539,-118.395711,217.6,19.4,46.417,0.98,2025-01-01T11:51:28
AAX001,33.978315,-118.394957,222.5,19.4,46.417,0.979,2025-01-01T11:51:38
AAX001,33.980091,-118.394202,227.3,19.4,46.417,0.978,2025-01-01T11:51:48
AAX001,33.981867,-118.393448,232.2,19.4,46.417,0.977,2025-01-01T11:51:58
AAX001,33.983643,-118.392694,237.1,19.4,46.417,0.976,2025-01-01T11:52:08
AAX001,33.985419,-118.39194,242.0,19.4,46.417,0.975,2025-01-01T11:52:18
AAX001,33.987196,-118.391185,246.8,19.4,46.417,0.974,2025-01-01T11:52:28
AAX001,33.988972,-118.390431,251.7,19.4,46.417,0.973,2025-01-01T11:52:38
AAX001,33.990748,-118.389677,256.6,19.4,46.417,0.972,2025-01-01T11:52:48
AAX001,33.992524,-118.388922,261.4,19.4,46.417,0.971,2025-01-01T11:52:58
AAX001,33.9943,-118.388168,266.3,19.4,46.417,0.97,2025-01-01T11:53:08
AAX001,33.996077,-118.387414,271.2,19.4,46.417,0.969,2025-01-01T11:53:18
AAX001,33.997853,-118.38666,276.1,19.4,46.417,0.968,2025-01-01T11:53:28
AAX001,33.999629,-118.385905,280.9,19.4,46.417,0.967,2025-01-01T11:53:38
AAX001,34.001405,-118.385151,285.8,19.4,46.417,0.966,2025-01-01T11:53:48
AAX001,34.003181,-118.384397,290.7,19.4,46.417,0.965,2025-01-01T11:53:58
AAX001,34.004958,-118.383643,295.6,19.4,46.417,0.964,2025-01-01T11:54:08
AAX001,34.006734,-118.382888,300.4,19.4,46.417,0.963,2025-01-01T11:54:18
AAX001,34.00851,-118.382134,305.3,19.4,46.417,0.962,2025-01-01T11:54:28
AAX001,34.010286,-118.38138,310.2,19.4,46.417,0.961,2025-01-01T11:54:38
AAX001,34.012062,-118.380626,315.1,19.4,46.417,0.96,2025-01-01T11:54:48
AAX001,34.013838,-118.379871,319.9,19.4,46.417,0.959,2025-01-01T11:54:58
AAX001,34.015615,-118.379117,324.8,19.4,46.417,0.958,2025-01-01T11:55:08
AAX001,34.017391,-118.378363,329.7,19.4,46.417,0.957,2025-01-01T11:55:18
AAX001,34.019167,-118.377608,334.5,19.4,46.417,0.956,2025-01-01T11:55:28
AAX001,34.020943,-118.376854,339.4,19.4,46.417,0.955,2025-01-01T11:55:38
AAX001,34.022719,-118.3761,344.3,19.4,46.417,0.954,2025-01-01T11:55:48
AAX001,34.024496,-118.375346,349.2,19.4,46.417,0.953,2025-01-01T11:55:58
AAX001,34.026272,-118.374591,354.0,19.4,46.417,0.952,2025-01-01T11:56:08
AAX001,34.028048,-118.373837,358.9,19.4,46.417,0.951,2025-01-01T11:56:18
AAX001,34.029824,-118.373083,363.8,19.4,46.417,0.95,2025-01-01T11:56:28
AAX001,34.0316,-118.372329,368.7,19.4,46.417,0.949,2025-01-01T11:56:38
AAX001,34.033377,-118.371574,373.5,19.4,46.417,0.948,2025-01-01T11:56:48
AAX001,34.035153,-118.37082,378.4,19.4,46.417,0.947,2025-01-01T11:56:58
AAX001,34.036929,-118.370066,383.3,19.4,46.417,0.946,2025-01-01T11:57:08
AAX001,34.038705,-118.369311,388.1,19.4,46.417,0.945,2025-01-01T11:57:18
AAX001,34.040481,-118.368557,393.0,19.4,46.417,0.944,2025-01-01T11:57:28
AAX001,34.042257,-118.367803,397.9,19.4,46.417,0.943,2025-01-01T11:57:38
AAX001,34.044034,-118.367049,402.8,19.4,46.417,0.942,2025-01-01T11:57:48
AAX001,34.04581,-118.366294,407.6,19.4,46.417,0.941,2025-01-01T11:57:58
AAX001,34.047586,-118.36554,412.5,19.4,46.417,0.94,2025-01-01T11:58:08
AAX001,34.049362,-118.364786,417.4,19.4,46.417,0.939,2025-01-01T11:58:18
AAX001,34.051138,-118.364032,422.3,19.4,46.417,0.938,2025-01-01T11:58:28
AAX001,34.052915,-118.363277,427.1,19.4,46.417,0.937,2025-01-01T11:58:38
AAX001,34.054691,-118.362523,432.0,19.4,46.417,0.936,2025-01-01T11:58:48
AAX001,34.056467,-118.361769,436.9,19.4,46.417,0.935,2025-01-01T11:58:58
AAX001,34.058243,-118.361015,441.8,19.4,46.417,0.934,2025-01-01T11:59:08
AAX001,34.060019,-118.36026,446.6,19.4,46.417,0.933,2025-01-01T11:59:18
AAX001,34.061796,-118.359506,451.5,19.4,46.417,0.932,2025-01-01T11:59:28
AAX001,34.063572,-118.358752,456.4,19.4,46.417,0.931,2025-01-01T11:59:38
AAX001,34.065348,-118.357997,461.2,19.4,46.417,0.93,2025-01-01T11:59:48
AAX001,34.067124,-118.357243,466.1,19.4,46.417,0.929,2025-01-01T11:59:58
AAX001,34.0689,-118.356489,471.0,19.4,46.417,0.928,2025-01-01T12:00:08
AAX001,34.070676,-118.355735,475.9,19.4,46.417,0.927,2025-01-01T12:00:18
AAX001,34.072453,-118.35498,480.7,19.4,46.417,0.926,2025-01-01T12:00:28
AAX001,34.074229,-118.354226,485.6,19.4,46.417,0.925,2025-01-01T12:00:38
AAX001,34.076005,-118.353472,490.5,19.4,46.417,0.924,2025-01-01T12:00:48
