tail_number,latitude,longitude,altitude,heading,speed,fuel,timestamp
AAA001,34.742459,-117.469704,1283,312.4,25,0.999,2025-01-01T10:00:00
AAA001,34.754245,-117.485389,1283,284.5,25,0.998,2025-01-01T10:01:56.261053
AAA001,34.759602,-117.510652,1283,266.6,25,0.997,2025-01-01T10:03:52.522106
AAA001,34.758004,-117.543021,1283,254.3,25,0.996,2025-01-01T10:05:48.783160
AAA001,34.749609,-117.579326,1283,244.5,25,0.995,2025-01-01T10:07:45.044213
AAA001,34.735238,-117.616015,1283,235.5,25,0.994,2025-01-01T10:09:41.305266
AAA001,34.716298,-117.649495,1283,225.7,25,0.993,2025-01-01T10:11:37.566319
AAA001,34.694642,-117.67649,1283,213.4,25,0.992,2025-01-01T10:13:33.827372
AAA001,34.672391,-117.694357,1283,195.5,25,0.991,2025-01-01T10:15:30.088425
AAA001,34.651723,-117.701347,1283,167.6,25,0.99,2025-01-01T10:17:26.349479
AAA001,34.634661,-117.696776,1283,132.4,25,0.989,2025-01-01T10:19:22.610532
AAA001,34.622875,-117.681091,1283,104.5,25,0.988,2025-01-01T10:21:18.871585
AAA001,34.617518,-117.655828,1283,86.6,25,0.987,2025-01-01T10:23:15.132638
AAA001,34.619116,-117.623459,1283,74.3,25,0.986,2025-01-01T10:25:11.393691
AAA001,34.627511,-117.587154,1283,64.5,25,0.985,2025-01-01T10:27:07.654744
AAA001,34.641882,-117.550465,1283,55.5,25,0.984,2025-01-01T10:29:03.915798
AAA001,34.660822,-117.516985,1283,45.7,25,0.983,2025-01-01T10:31:00.176851
AAA001,34.682478,-117.48999,1283,33.4,25,0.982,2025-01-01T10:32:56.437904
AAA001,34.704729,-117.472123,1283,15.5,25,0.981,2025-01-01T10:34:52.698957
AAA001,34.725397,-117.465133,1283,347.6,25,0.98,2025-01-01T10:36:48.960010
